step,mean_3_gram_loss,top_conf_3_gram_loss,bottom_conf_3_gram_loss
1,11.036407470703125,11.239882901179932,10.832932040226318
2,11.03631591796875,11.239790504476597,10.832841331460903
4,11.03582763671875,11.239297721999687,10.832357551437813
8,11.0185546875,11.221865477762364,10.815243897237636
16,10.95648193359375,11.159219241900033,10.753744625287467
256,7.7987060546875,7.969750662823627,7.627661446551373
1000,6.1842803955078125,6.336595403934304,6.031965387081321
8000,6.0465240478515625,6.19713307559055,5.895915020112575
33000,6.0408782958984375,6.191416993991497,5.890339597805378
66000,6.082672119140625,6.233730670707323,5.931613567573927
131000,6.1225433349609375,6.274096163580097,5.970990506341778
143000,6.0994415283203125,6.250708164351028,5.948174892289597
